timestamp,energy_output,temperature,humidity,wind_speed,solar_irradiance,panel_temp,voltage,current,power_factor,dust_level,maintenance_needed
2023-01-01 00:00:00,0.08,19.2,93.9,4.3,0.0,19.0,24.9,2.2,0.93,0.18,0
2023-01-01 01:00:00,0.0,17.1,95.0,3.5,0.0,13.2,23.5,0.0,0.95,0.17,0
2023-01-01 02:00:00,0.0,18.3,85.7,2.6,0.0,16.2,24.9,0.6,0.95,0.57,0
2023-01-01 03:00:00,0.12,16.9,92.1,2.2,0.0,16.1,24.3,0.9,0.96,0.61,0
2023-01-01 04:00:00,0.23,19.7,87.1,2.1,0.0,19.9,23.7,7.1,0.96,0.38,0
2023-01-01 05:00:00,0.23,16.4,95.0,3.6,0.0,17.3,23.5,9.0,0.98,0.11,0
2023-01-01 06:00:00,0.09,19.2,71.5,3.5,0.0,21.0,24.4,2.4,0.97,0.45,0
2023-01-01 07:00:00,1.73,21.7,74.5,0.8,131.3,23.7,23.9,73.1,0.95,0.48,0
2023-01-01 08:00:00,1.55,21.6,84.4,2.8,98.0,24.3,24.1,66.3,0.98,0.21,0
2023-01-01 09:00:00,1.56,23.0,70.6,0.0,107.4,27.1,23.7,64.4,0.99,0.24,0
2023-01-01 10:00:00,2.07,29.1,50.4,1.7,172.2,32.6,23.9,91.6,0.92,0.08,0
2023-01-01 11:00:00,0.66,25.6,69.1,3.9,176.1,29.6,24.5,25.0,0.95,0.7,0
2023-01-01 12:00:00,4.11,27.4,73.9,5.0,270.6,32.0,22.6,182.0,0.97,0.06,0
2023-01-01 13:00:00,2.34,24.1,64.2,2.6,316.0,29.9,24.1,99.9,0.96,0.61,0
2023-01-01 14:00:00,3.06,25.9,61.7,3.7,200.5,31.9,24.1,125.5,0.92,0.12,0
2023-01-01 15:00:00,0.55,28.2,57.6,2.1,177.9,32.8,24.6,23.2,0.97,0.68,0
2023-01-01 16:00:00,0.72,22.7,71.6,4.5,51.7,25.0,23.8,35.8,0.93,0.48,0
2023-01-01 17:00:00,1.32,19.6,84.0,2.0,88.1,21.2,23.7,57.4,0.93,0.38,0
2023-01-01 18:00:00,0.17,20.5,70.2,3.8,19.3,21.3,24.9,8.8,0.95,0.68,0
